No,Perusahaan,PIC,Email,"No HP",Alamat,Status
1,dsakdskabd,monkela,henhuex@mail.com,2131802389193,dsjandasdknasjd,Aktif
2,"PT. nemo ikan abadi",moli,ikanabadi@ikanabadi.com,867857754,jdnjsfnisniisf,Aktif
3,dsakdskabd,heh,henhuelll@mail.com,2131802389193,dsjandasdknasjd,Aktif
4,"oyen abadi sukses",oyen,oyen@oyen.com,89038289234,asdajdsadsbuiasdiiuasd,Aktif
5,dsakdskabd,monkela,monkela@mail.com,2131802389193,dsjandasdknasjd,Aktif
6,"Mongka liuer",monika,mongka@gmail.com,8773489234898,dsjandasdknasjd,Aktif
7,KoMper,nemo,KoMper@gmail.com,2131802389193,dsjandasdknasjd,Aktif
8,dsakdskabd,heh,henhue@henhue.com,2131802389193,dsjandasdknasjd,Aktif
9,dsakdskabd,heh,henhue@gmail.com,2131802389193,dsjandasdknasjd,Aktif
10,dsakdskabd,heh,henhue@mail.com,2131802389193,dsjandasdknasjd,Aktif
11,nem@nem,neecow,nem@nem.com,9876789,sederhana,Aktif
12,"PT. Ayam abadi",ashar,ayam@mail.com,2723121331213,new,Aktif
13,"Pt Nital","Helati Munawan",Nital@gmail.com,0866543342599,"Jl. Merpati Putih No. 17
Kembang Putihan, Pandak
Bantul, D.I. Yogyakarta 55761",Aktif
14,"Pt budi abadi",neecow,budiabadi@budiabadi.com,7556676556,GGFGNBVBNMBV,Aktif
15,nemoinka,nemo,nemo@nemo.com,067788667,jhijhhijygiygiyigygiyiy,Aktif
16,akabfkabf,dakadhahd,heh@heh.com,876545678,hsuytdf,Aktif
17,adjssdjsdjnds,jadsasdadhdsh,mailh@mail.com,8r8932734,bhadbhadhas,Aktif
18,sdbhdsfbhsdbhf,dahdhjadj,lolo@lolo.com,129147038704,jdshfkkshfkhsd,Aktif
19,coorporet,neecow,coor@mail.com,0976876521,asdasdasdasdasdasd,Aktif
20,maca,maca,maca@maca.com,1231241241,"12412414 adsdaqdas",Aktif
